gvkey,fyear,at,ebit,ebitda,ni,ppent,sale,naics
004275,2017.0,13.415,0.365,0.673,0.295,1.074,7.84,334513
004292,2017.0,0.262,0.06,0.066,0.041,0.004,0.588,334210
004321,2017.0,19589.0,2724.0,3360.0,1518.0,3321.0,15264.0,334513
004322,2017.0,47.757,-3.882,-3.874,-6.851,0.014,15.022,334310
004341,2017.0,582.316,32.091,41.351,24.324,79.828,390.523,336340
004351,2017.0,5033.895,160.189,649.396,306.828,4718.939,987.438,211111
004367,2017.0,9747.0,-374.0,427.0,-2813.0,2708.0,5699.0,213111
004383,2017.0,10749.596,727.546,1046.994,396.421,9259.182,2759.735,221210
004384,2017.0,15.058,-11.48,-9.604,-31.334,0.01,0.52,511210
004390,2017.0,329.439,48.663,62.754,32.905,45.908,370.171,323111
004409,2017.0,9.512,7.008,7.008,5.445,0.0,8.379,325414
004412,2017.0,482.136,31.73,55.392,-4.097,171.052,391.978,326121
004415,2017.0,46.423,3.087,4.353,2.377,12.353,48.086,336413
004418,2017.0,107.665,-3.066,0.532,-2.504,7.901,107.804,621511
004423,2017.0,7233.4,950.3,1238.1,587.3,567.0,3362.2,561450
004430,2017.0,29522.604,1178.262,2266.761,1508.529,24885.015,3378.015,2111
004439,2017.0,31877.845,-2137.228,-1103.239,-4307.493,1573.068,24629.643,334220
004448,2017.0,156.105,14.6,18.51,14.061,14.286,177.333,339920
004450,2017.0,35.494,1.526,1.962,1.136,2.265,22.521,334419
004460,2017.0,3120.013,176.537,278.937,111.554,348.634,2000.304,334511
004462,2017.0,1712.154,336.769,390.614,190.509,652.281,2198.404,325180
004467,2017.0,25.03,1.767,2.026,1.481,4.527,30.508,334419
004485,2017.0,254.548,14.37,15.773,9.986,4.773,92.769,524126
004485,2017.0,254.548,,,,4.773,,524126
004494,2017.0,3117.008,690.26,739.57,489.345,525.203,6920.948,488510
004497,2017.0,173.083,9.607,20.173,-18.853,59.872,192.803,333132
004498,2017.0,283.073,34.273,45.922,22.548,98.67,388.871,332618
004503,2017.0,348691.0,12074.0,31967.0,19710.0,252630.0,237162.0,324110
004510,2017.0,9206.3,491.6,584.7,535.8,1025.2,2878.6,325320
004517,2017.0,97827.0,6650.0,9007.0,5378.0,72416.0,17195.0,22111
004579,2017.0,392.736,21.024,43.994,24.4,176.066,541.5,311920
004598,2017.0,52330.0,5945.0,9040.0,4572.0,28154.0,65450.0,492110
004599,2017.0,1759.1,204.0,237.5,123.8,246.8,3296.0,423510
004601,2017.0,3345529.0,107806.0,107806.0,2463.0,0.0,112630.0,522294
004601,2017.0,3345529.0,,,,0.0,,522294
004605,2017.0,6275.755,332.346,,289.914,,857.406,531120
004605,2017.0,6275.755,,,,0.0,,531120
004607,2017.0,63.282,3.814,7.451,3.073,27.485,77.341,332722
004608,2017.0,992.3,82.8,112.4,61.6,147.3,898.5,336120
004611,2017.0,19381.0,1383.0,2374.0,1547.0,6672.0,24837.0,452210
004622,2017.0,1682.202,164.817,214.902,57.054,321.742,1396.742,325510
004632,2017.0,63.376,-27.593,-27.221,22.979,0.257,0.0,325414
004640,2017.0,142193.0,3087.0,3323.0,2194.0,2649.0,6676.0,522110
004640,2017.0,142193.0,,,,2649.0,,522110
004669,2017.0,5092.0,391.0,568.0,221.0,957.0,6265.0,423810
